Ns,Np,UA_w_per_k,peak_current_a,peak_temp_k,viol_temp,viol_soc
24,1,4.0,40.0,298.2262871202546,0,1
24,1,4.0,60.0,298.32167511420164,0,1
24,1,4.0,80.0,298.45527263464515,0,1
24,1,4.0,100.0,298.62713405731984,0,1
24,1,6.0,40.0,298.2166769390637,0,1
24,1,6.0,60.0,298.300046843026,0,1
24,1,6.0,80.0,298.4168090211102,0,1
24,1,6.0,100.0,298.56700782251505,0,1
24,1,8.0,40.0,298.20891277642914,0,1
24,1,8.0,60.0,298.2825733023807,0,1
24,1,8.0,80.0,298.3857345550103,0,1
24,1,8.0,100.0,298.518433079553,0,1
24,1,12.0,40.0,298.19735925053067,0,1
24,1,12.0,60.0,298.2565720080354,0,1
24,1,12.0,80.0,298.33949543952593,0,1
24,1,12.0,100.0,298.4461551344762,0,1
24,2,4.0,40.0,298.188140974459,0,1
24,2,4.0,60.0,298.23582446481066,0,1
24,2,4.0,80.0,298.30259492881686,0,1
24,2,4.0,100.0,298.3884659498448,0,1
24,2,6.0,40.0,298.18333636052563,0,1
24,2,6.0,60.0,298.22501274283104,0,1
24,2,6.0,80.0,298.28337075250136,0,1
24,2,6.0,100.0,298.3584214685614,0,1
24,2,8.0,40.0,298.17945465022325,0,1
24,2,8.0,60.0,298.21627785115714,0,1
24,2,8.0,80.0,298.26783945862553,0,1
24,2,8.0,100.0,298.3341486024065,0,1
24,2,12.0,40.0,298.173678408162,0,1
24,2,12.0,60.0,298.203279841502,0,1
24,2,12.0,80.0,298.24472823906376,0,1
24,2,12.0,100.0,298.29802999404166,0,1
24,3,4.0,40.0,298.1754267417503,0,0
24,3,4.0,60.0,298.20721340089335,0,1
24,3,4.0,80.0,298.2517207574468,0,1
24,3,4.0,100.0,298.30895484689717,0,1
24,3,6.0,40.0,298.1722237717106,0,0
24,3,6.0,60.0,298.20000612250743,0,1
24,3,6.0,80.0,298.23890633505005,0,1
24,3,6.0,100.0,298.28892933212444,0,1
24,3,8.0,40.0,298.16963604728505,0,0
24,3,8.0,60.0,298.1941832788002,0,1
24,3,8.0,80.0,298.22855345856175,0,1
24,3,8.0,100.0,298.2727506432805,0,1
24,3,12.0,40.0,298.1657853349879,0,0
24,3,12.0,60.0,298.185518525052,0,1
24,3,12.0,80.0,298.21314783125916,0,1
24,3,12.0,100.0,298.2486760944111,0,1
24,4,4.0,40.0,298.16906984085904,0,0
